orig_image,mask_image
images\OFT_rat05_intact@003018.bmp,masks\OFT_rat05_intact@003018.bmp
images\OFT_rat05_intact@003479.bmp,masks\OFT_rat05_intact@003479.bmp
images\OFT_rat06_intact@000130.bmp,masks\OFT_rat06_intact@000130.bmp
images\OFT_rat06_intact@000245.bmp,masks\OFT_rat06_intact@000245.bmp
images\OFT_rat06_intact@000386.bmp,masks\OFT_rat06_intact@000386.bmp
images\OFT_rat06_intact@000486.bmp,masks\OFT_rat06_intact@000486.bmp
images\OFT_rat06_intact@000626.bmp,masks\OFT_rat06_intact@000626.bmp
images\OFT_rat06_intact@000726.bmp,masks\OFT_rat06_intact@000726.bmp
images\OFT_rat06_intact@000877.bmp,masks\OFT_rat06_intact@000877.bmp
images\OFT_rat06_intact@000977.bmp,masks\OFT_rat06_intact@000977.bmp
images\OFT_rat06_intact@001087.bmp,masks\OFT_rat06_intact@001087.bmp
images\OFT_rat06_intact@001213.bmp,masks\OFT_rat06_intact@001213.bmp
images\OFT_rat06_intact@001355.bmp,masks\OFT_rat06_intact@001355.bmp
images\OFT_rat06_intact@001458.bmp,masks\OFT_rat06_intact@001458.bmp
images\OFT_rat06_intact@001594.bmp,masks\OFT_rat06_intact@001594.bmp
images\OFT_rat06_intact@001714.bmp,masks\OFT_rat06_intact@001714.bmp
images\OFT_rat06_intact@001834.bmp,masks\OFT_rat06_intact@001834.bmp
images\OFT_rat06_intact@001950.bmp,masks\OFT_rat06_intact@001950.bmp
images\OFT_rat06_intact@002090.bmp,masks\OFT_rat06_intact@002090.bmp
images\OFT_rat06_intact@002175.bmp,masks\OFT_rat06_intact@002175.bmp
images\OFT_rat06_intact@002486.bmp,masks\OFT_rat06_intact@002486.bmp
images\OFT_rat06_intact@002571.bmp,masks\OFT_rat06_intact@002571.bmp
images\OFT_rat06_intact@002682.bmp,masks\OFT_rat06_intact@002682.bmp
images\OFT_rat06_intact@002812.bmp,masks\OFT_rat06_intact@002812.bmp
images\OFT_rat06_intact@002927.bmp,masks\OFT_rat06_intact@002927.bmp
images\OFT_rat06_intact@003519.bmp,masks\OFT_rat06_intact@003519.bmp
images\OFT_rat06_intact@003805.bmp,masks\OFT_rat06_intact@003805.bmp
images\OFT_rat08_intact@000135.bmp,masks\OFT_rat08_intact@000135.bmp
images\OFT_rat08_intact@000245.bmp,masks\OFT_rat08_intact@000245.bmp
images\OFT_rat08_intact@000386.bmp,masks\OFT_rat08_intact@000386.bmp
images\OFT_rat08_intact@000486.bmp,masks\OFT_rat08_intact@000486.bmp
images\OFT_rat08_intact@000666.bmp,masks\OFT_rat08_intact@000666.bmp
images\OFT_rat08_intact@000731.bmp,masks\OFT_rat08_intact@000731.bmp
images\OFT_rat08_intact@000847.bmp,masks\OFT_rat08_intact@000847.bmp
images\OFT_rat08_intact@000972.bmp,masks\OFT_rat08_intact@000972.bmp
images\OFT_rat08_intact@001117.bmp,masks\OFT_rat08_intact@001117.bmp
images\OFT_rat08_intact@001208.bmp,masks\OFT_rat08_intact@001208.bmp
images\OFT_rat08_intact@001328.bmp,masks\OFT_rat08_intact@001328.bmp
images\OFT_rat08_intact@001463.bmp,masks\OFT_rat08_intact@001463.bmp
images\OFT_rat08_intact@001559.bmp,masks\OFT_rat08_intact@001559.bmp
images\OFT_rat08_intact@001794.bmp,masks\OFT_rat08_intact@001794.bmp
images\OFT_rat08_intact@001950.bmp,masks\OFT_rat08_intact@001950.bmp
images\OFT_rat08_intact@002130.bmp,masks\OFT_rat08_intact@002130.bmp
images\OFT_rat08_intact@002521.bmp,masks\OFT_rat08_intact@002521.bmp
images\OFT_rat08_intact@002536.bmp,masks\OFT_rat08_intact@002536.bmp
images\OFT_rat08_intact@002561.bmp,masks\OFT_rat08_intact@002561.bmp
images\OFT_rat08_intact@002647.bmp,masks\OFT_rat08_intact@002647.bmp
images\OFT_rat08_intact@002692.bmp,masks\OFT_rat08_intact@002692.bmp
images\OFT_rat08_intact@003479.bmp,masks\OFT_rat08_intact@003479.bmp
images\OFT_rat08_intact@003920.bmp,masks\OFT_rat08_intact@003920.bmp
images\OFT_rat08_intact@003950.bmp,masks\OFT_rat08_intact@003950.bmp
images\OFT_rat08_intact@004156.bmp,masks\OFT_rat08_intact@004156.bmp
images\OFT_TBI_01$000159&03_@000030.bmp,masks\OFT_TBI_01$000159&03_@000030.bmp
images\OFT_TBI_01$000159&03_@000074.bmp,masks\OFT_TBI_01$000159&03_@000074.bmp
images\OFT_TBI_01$000159&03_@000205.bmp,masks\OFT_TBI_01$000159&03_@000205.bmp
images\OFT_TBI_01$000159&03_@000245.bmp,masks\OFT_TBI_01$000159&03_@000245.bmp
images\OFT_TBI_01$000159&03_@000282.bmp,masks\OFT_TBI_01$000159&03_@000282.bmp
images\OFT_TBI_01$000159&03_@000342.bmp,masks\OFT_TBI_01$000159&03_@000342.bmp
images\OFT_TBI_01$000159&03_@000379.bmp,masks\OFT_TBI_01$000159&03_@000379.bmp
images\OFT_TBI_01$000159&03_@000541.bmp,masks\OFT_TBI_01$000159&03_@000541.bmp
images\OFT_TBI_01$000159&03_@000578.bmp,masks\OFT_TBI_01$000159&03_@000578.bmp
images\OFT_TBI_01$000159&03_@000643.bmp,masks\OFT_TBI_01$000159&03_@000643.bmp
images\OFT_TBI_01$000159&03_@000670.bmp,masks\OFT_TBI_01$000159&03_@000670.bmp
images\OFT_TBI_01$000159&03_@000712.bmp,masks\OFT_TBI_01$000159&03_@000712.bmp
images\OFT_TBI_01$000159&03_@000749.bmp,masks\OFT_TBI_01$000159&03_@000749.bmp
images\OFT_TBI_01$000159&03_@000763.bmp,masks\OFT_TBI_01$000159&03_@000763.bmp
images\OFT_TBI_01$000159&03_@000805.bmp,masks\OFT_TBI_01$000159&03_@000805.bmp
images\OFT_TBI_01$000159&03_@000888.bmp,masks\OFT_TBI_01$000159&03_@000888.bmp
images\OFT_TBI_01$000159&03_@000902.bmp,masks\OFT_TBI_01$000159&03_@000902.bmp
images\OFT_TBI_01$000159&03_@000930.bmp,masks\OFT_TBI_01$000159&03_@000930.bmp
images\OFT_TBI_01$000159&03_@001074.bmp,masks\OFT_TBI_01$000159&03_@001074.bmp
images\OFT_TBI_01$000159&03_@001115.bmp,masks\OFT_TBI_01$000159&03_@001115.bmp
images\OFT_TBI_01$000159&03_@001209.bmp,masks\OFT_TBI_01$000159&03_@001209.bmp
images\OFT_TBI_01$000159&03_@001318.bmp,masks\OFT_TBI_01$000159&03_@001318.bmp
images\OFT_TBI_01$000159&03_@001466.bmp,masks\OFT_TBI_01$000159&03_@001466.bmp
images\OFT_TBI_01$000159&03_@001638.bmp,masks\OFT_TBI_01$000159&03_@001638.bmp
images\OFT_TBI_01$000159&03_@001763.bmp,masks\OFT_TBI_01$000159&03_@001763.bmp
images\OFT_TBI_01$000159&03_@001948.bmp,masks\OFT_TBI_01$000159&03_@001948.bmp
images\OFT_TBI_01$000159&03_@001999.bmp,masks\OFT_TBI_01$000159&03_@001999.bmp
images\OFT_TBI_01$000159&03_@002355.bmp,masks\OFT_TBI_01$000159&03_@002355.bmp
images\OFT_TBI_01$000159&03_@002466.bmp,masks\OFT_TBI_01$000159&03_@002466.bmp
images\OFT_TBI_01$000159&03_@002591.bmp,masks\OFT_TBI_01$000159&03_@002591.bmp
images\OFT_TBI_01$000159&03_@002711.bmp,masks\OFT_TBI_01$000159&03_@002711.bmp
images\OFT_TBI_01$000159&03_@002966.bmp,masks\OFT_TBI_01$000159&03_@002966.bmp
images\OFT_TBI_01$000159&03_@003179.bmp,masks\OFT_TBI_01$000159&03_@003179.bmp
images\OFT_TBI_01$000159&03_@003239.bmp,masks\OFT_TBI_01$000159&03_@003239.bmp
images\OFT_TBI_01$000159&03_@003595.bmp,masks\OFT_TBI_01$000159&03_@003595.bmp
images\OFT_TBI_01$000159&03_@004044.bmp,masks\OFT_TBI_01$000159&03_@004044.bmp
images\OFT_TBI_02$000304&03_@000111.bmp,masks\OFT_TBI_02$000304&03_@000111.bmp
images\OFT_TBI_02$000304&03_@000226.bmp,masks\OFT_TBI_02$000304&03_@000226.bmp
images\OFT_TBI_02$000304&03_@000343.bmp,masks\OFT_TBI_02$000304&03_@000343.bmp
images\OFT_TBI_02$000304&03_@000425.bmp,masks\OFT_TBI_02$000304&03_@000425.bmp
images\OFT_TBI_02$000304&03_@000578.bmp,masks\OFT_TBI_02$000304&03_@000578.bmp
images\OFT_TBI_02$000304&03_@000740.bmp,masks\OFT_TBI_02$000304&03_@000740.bmp
images\OFT_TBI_02$000304&03_@001073.bmp,masks\OFT_TBI_02$000304&03_@001073.bmp
images\OFT_TBI_02$000304&03_@001189.bmp,masks\OFT_TBI_02$000304&03_@001189.bmp
images\OFT_TBI_02$000304&03_@001212.bmp,masks\OFT_TBI_02$000304&03_@001212.bmp
images\OFT_TBI_02$000304&03_@001267.bmp,masks\OFT_TBI_02$000304&03_@001267.bmp
images\OFT_TBI_02$000304&03_@001624.bmp,masks\OFT_TBI_02$000304&03_@001624.bmp
images\OFT_TBI_02$000304&03_@002100.bmp,masks\OFT_TBI_02$000304&03_@002100.bmp
images\OFT_TBI_02$000304&03__000425frame@000030.bmp,masks\OFT_TBI_02$000304&03__000425frame@000030.bmp
images\OFT_TBI_03$000343&03_@000030.bmp,masks\OFT_TBI_03$000343&03_@000030.bmp
images\OFT_TBI_03$000343&03_@000046.bmp,masks\OFT_TBI_03$000343&03_@000046.bmp
images\OFT_TBI_03$000343&03_@000161.bmp,masks\OFT_TBI_03$000343&03_@000161.bmp
images\OFT_TBI_03$000343&03_@000171.bmp,masks\OFT_TBI_03$000343&03_@000171.bmp
images\OFT_TBI_03$000343&03_@000222.bmp,masks\OFT_TBI_03$000343&03_@000222.bmp
images\OFT_TBI_03$000343&03_@000287.bmp,masks\OFT_TBI_03$000343&03_@000287.bmp
images\OFT_TBI_03$000343&03_@000393.bmp,masks\OFT_TBI_03$000343&03_@000393.bmp
images\OFT_TBI_03$000343&03_@000458.bmp,masks\OFT_TBI_03$000343&03_@000458.bmp
images\OFT_TBI_03$000343&03_@000522.bmp,masks\OFT_TBI_03$000343&03_@000522.bmp
images\OFT_TBI_03$000343&03_@000569.bmp,masks\OFT_TBI_03$000343&03_@000569.bmp
images\OFT_TBI_03$000343&03_@000629.bmp,masks\OFT_TBI_03$000343&03_@000629.bmp
images\OFT_TBI_03$000343&03_@000731.bmp,masks\OFT_TBI_03$000343&03_@000731.bmp
images\OFT_TBI_03$000343&03_@000814.bmp,masks\OFT_TBI_03$000343&03_@000814.bmp
images\OFT_TBI_03$000343&03_@000860.bmp,masks\OFT_TBI_03$000343&03_@000860.bmp
images\OFT_TBI_03$000343&03_@000930.bmp,masks\OFT_TBI_03$000343&03_@000930.bmp
images\OFT_TBI_03$000343&03_@000948.bmp,masks\OFT_TBI_03$000343&03_@000948.bmp
images\OFT_TBI_03$000343&03_@001022.bmp,masks\OFT_TBI_03$000343&03_@001022.bmp
images\OFT_TBI_03$000343&03_@001138.bmp,masks\OFT_TBI_03$000343&03_@001138.bmp
images\OFT_TBI_03$000343&03_@001166.bmp,masks\OFT_TBI_03$000343&03_@001166.bmp
images\OFT_TBI_03$000343&03_@001184.bmp,masks\OFT_TBI_03$000343&03_@001184.bmp
images\OFT_TBI_03$000343&03_@001263.bmp,masks\OFT_TBI_03$000343&03_@001263.bmp
images\OFT_TBI_03$000343&03_@001466.bmp,masks\OFT_TBI_03$000343&03_@001466.bmp
images\OFT_TBI_03$000343&03_@001536.bmp,masks\OFT_TBI_03$000343&03_@001536.bmp
images\OFT_TBI_03$000343&03_@001628.bmp,masks\OFT_TBI_03$000343&03_@001628.bmp
images\OFT_TBI_03$000343&03_@001735.bmp,masks\OFT_TBI_03$000343&03_@001735.bmp
images\OFT_TBI_03$000343&03_@001795.bmp,masks\OFT_TBI_03$000343&03_@001795.bmp
images\OFT_TBI_03$000343&03_@001837.bmp,masks\OFT_TBI_03$000343&03_@001837.bmp
images\OFT_TBI_03$000343&03_@001883.bmp,masks\OFT_TBI_03$000343&03_@001883.bmp
images\OFT_TBI_03$000343&03_@002082.bmp,masks\OFT_TBI_03$000343&03_@002082.bmp
images\OFT_TBI_03$000343&03_@002137.bmp,masks\OFT_TBI_03$000343&03_@002137.bmp
images\OFT_TBI_03$000343&03_@002443.bmp,masks\OFT_TBI_03$000343&03_@002443.bmp
images\OFT_TBI_03$000343&03_@002512.bmp,masks\OFT_TBI_03$000343&03_@002512.bmp
images\OFT_TBI_03$000343&03_@002531.bmp,masks\OFT_TBI_03$000343&03_@002531.bmp
images\OFT_TBI_03$000343&03_@003109.bmp,masks\OFT_TBI_03$000343&03_@003109.bmp
images\OFT_TBI_03$000343&03_@003313.bmp,masks\OFT_TBI_03$000343&03_@003313.bmp
images\OFT_TBI_03$000343&03_@003415.bmp,masks\OFT_TBI_03$000343&03_@003415.bmp
images\OFT_TBI_04$000339&03_@000030.bmp,masks\OFT_TBI_04$000339&03_@000030.bmp
images\OFT_TBI_04$000339&03_@000143.bmp,masks\OFT_TBI_04$000339&03_@000143.bmp
images\OFT_TBI_04$000339&03_@000198.bmp,masks\OFT_TBI_04$000339&03_@000198.bmp
images\OFT_TBI_04$000339&03_@000226.bmp,masks\OFT_TBI_04$000339&03_@000226.bmp
images\OFT_TBI_04$000339&03_@000356.bmp,masks\OFT_TBI_04$000339&03_@000356.bmp
images\OFT_TBI_04$000339&03_@000458.bmp,masks\OFT_TBI_04$000339&03_@000458.bmp
images\OFT_TBI_04$000339&03_@000559.bmp,masks\OFT_TBI_04$000339&03_@000559.bmp
images\OFT_TBI_04$000339&03_@000601.bmp,masks\OFT_TBI_04$000339&03_@000601.bmp
images\OFT_TBI_04$000339&03_@000615.bmp,masks\OFT_TBI_04$000339&03_@000615.bmp
images\OFT_TBI_04$000339&03_@000647.bmp,masks\OFT_TBI_04$000339&03_@000647.bmp
images\OFT_TBI_04$000339&03_@000791.bmp,masks\OFT_TBI_04$000339&03_@000791.bmp
images\OFT_TBI_04$000339&03_@000939.bmp,masks\OFT_TBI_04$000339&03_@000939.bmp
images\OFT_TBI_04$000339&03_@000999.bmp,masks\OFT_TBI_04$000339&03_@000999.bmp
images\OFT_TBI_04$000339&03_@001059.bmp,masks\OFT_TBI_04$000339&03_@001059.bmp
images\OFT_TBI_04$000339&03_@001295.bmp,masks\OFT_TBI_04$000339&03_@001295.bmp
images\OFT_TBI_04$000339&03_@001513.bmp,masks\OFT_TBI_04$000339&03_@001513.bmp
images\OFT_TBI_04$000339&03_@001559.bmp,masks\OFT_TBI_04$000339&03_@001559.bmp
images\OFT_TBI_04$000339&03_@001696.bmp,masks\OFT_TBI_04$000339&03_@001696.bmp
images\OFT_TBI_04$000339&03_@001772.bmp,masks\OFT_TBI_04$000339&03_@001772.bmp
images\OFT_TBI_04$000339&03_@001800.bmp,masks\OFT_TBI_04$000339&03_@001800.bmp
images\OFT_TBI_04$000339&03_@001906.bmp,masks\OFT_TBI_04$000339&03_@001906.bmp
images\OFT_TBI_04$000339&03_@002063.bmp,masks\OFT_TBI_04$000339&03_@002063.bmp
images\OFT_TBI_04$000339&03_@002165.bmp,masks\OFT_TBI_04$000339&03_@002165.bmp
images\OFT_TBI_04$000339&03_@002531.bmp,masks\OFT_TBI_04$000339&03_@002531.bmp
images\OFT_TBI_04$000339&03_@002688.bmp,masks\OFT_TBI_04$000339&03_@002688.bmp
images\OFT_TBI_04$000339&03_@002744.bmp,masks\OFT_TBI_04$000339&03_@002744.bmp
images\OFT_TBI_04$000339&03_@002924.bmp,masks\OFT_TBI_04$000339&03_@002924.bmp
images\OFT_TBI_04$000339&03_@002961.bmp,masks\OFT_TBI_04$000339&03_@002961.bmp
images\OFT_TBI_04$000339&03_@003109.bmp,masks\OFT_TBI_04$000339&03_@003109.bmp
images\OFT_TBI_05$000185&03_@000030.bmp,masks\OFT_TBI_05$000185&03_@000030.bmp
images\OFT_TBI_05$000185&03_@000291.bmp,masks\OFT_TBI_05$000185&03_@000291.bmp
images\OFT_TBI_05$000185&03_@000342.bmp,masks\OFT_TBI_05$000185&03_@000342.bmp
images\OFT_TBI_05$000185&03_@000564.bmp,masks\OFT_TBI_05$000185&03_@000564.bmp
images\OFT_TBI_05$000185&03_@000763.bmp,masks\OFT_TBI_05$000185&03_@000763.bmp
images\OFT_TBI_05$000185&03_@000874.bmp,masks\OFT_TBI_05$000185&03_@000874.bmp
images\OFT_TBI_05$000185&03_@001318.bmp,masks\OFT_TBI_05$000185&03_@001318.bmp
images\OFT_TBI_05$000185&03_@001508.bmp,masks\OFT_TBI_05$000185&03_@001508.bmp
images\OFT_TBI_05$000185&03_@001540.bmp,masks\OFT_TBI_05$000185&03_@001540.bmp
images\OFT_TBI_05$000185&03_@001675.bmp,masks\OFT_TBI_05$000185&03_@001675.bmp
images\OFT_TBI_05$000185&03_@001901.bmp,masks\OFT_TBI_05$000185&03_@001901.bmp
images\OFT_TBI_05$000185&03_@003216.bmp,masks\OFT_TBI_05$000185&03_@003216.bmp
images\OFT_TBI_05$000185&03_@003544.bmp,masks\OFT_TBI_05$000185&03_@003544.bmp
images\OFT_TBI_05$000185&03_@003739.bmp,masks\OFT_TBI_05$000185&03_@003739.bmp
images\OFT_TBI_05$000185&03_@003928.bmp,masks\OFT_TBI_05$000185&03_@003928.bmp
images\OFT_TBI_05$000185&03_@004095.bmp,masks\OFT_TBI_05$000185&03_@004095.bmp
images\OFT_TBI_06$000180&03_@000030.bmp,masks\OFT_TBI_06$000180&03_@000030.bmp
images\OFT_TBI_06$000180&03_@000462.bmp,masks\OFT_TBI_06$000180&03_@000462.bmp
images\OFT_TBI_06$000180&03_@000490.bmp,masks\OFT_TBI_06$000180&03_@000490.bmp
images\OFT_TBI_06$000180&03_@000564.bmp,masks\OFT_TBI_06$000180&03_@000564.bmp
images\OFT_TBI_06$000180&03_@000666.bmp,masks\OFT_TBI_06$000180&03_@000666.bmp
images\OFT_TBI_06$000180&03_@000727.bmp,masks\OFT_TBI_06$000180&03_@000727.bmp
images\OFT_TBI_06$000180&03_@000731.bmp,masks\OFT_TBI_06$000180&03_@000731.bmp
images\OFT_TBI_06$000180&03_@000865.bmp,masks\OFT_TBI_06$000180&03_@000865.bmp
images\OFT_TBI_06$000180&03_@000962.bmp,masks\OFT_TBI_06$000180&03_@000962.bmp
images\OFT_TBI_06$000180&03_@001104.bmp,masks\OFT_TBI_06$000180&03_@001104.bmp
images\OFT_TBI_06$000180&03_@001115.bmp,masks\OFT_TBI_06$000180&03_@001115.bmp
images\OFT_TBI_06$000180&03_@001129.bmp,masks\OFT_TBI_06$000180&03_@001129.bmp
images\OFT_TBI_06$000180&03_@001286.bmp,masks\OFT_TBI_06$000180&03_@001286.bmp
images\OFT_TBI_06$000180&03_@001295.bmp,masks\OFT_TBI_06$000180&03_@001295.bmp
images\OFT_TBI_06$000180&03_@001411.bmp,masks\OFT_TBI_06$000180&03_@001411.bmp
images\OFT_TBI_06$000180&03_@001466.bmp,masks\OFT_TBI_06$000180&03_@001466.bmp
images\OFT_TBI_06$000180&03_@001716.bmp,masks\OFT_TBI_06$000180&03_@001716.bmp
images\OFT_TBI_06$000180&03_@001855.bmp,masks\OFT_TBI_06$000180&03_@001855.bmp
images\OFT_TBI_06$000180&03_@001860.bmp,masks\OFT_TBI_06$000180&03_@001860.bmp
images\OFT_TBI_06$000180&03_@001906.bmp,masks\OFT_TBI_06$000180&03_@001906.bmp
images\OFT_TBI_06$000180&03_@001957.bmp,masks\OFT_TBI_06$000180&03_@001957.bmp
images\OFT_TBI_06$000180&03_@001985.bmp,masks\OFT_TBI_06$000180&03_@001985.bmp
images\OFT_TBI_06$000180&03_@002022.bmp,masks\OFT_TBI_06$000180&03_@002022.bmp
images\OFT_TBI_06$000180&03_@002068.bmp,masks\OFT_TBI_06$000180&03_@002068.bmp
images\OFT_TBI_06$000180&03_@002114.bmp,masks\OFT_TBI_06$000180&03_@002114.bmp
images\OFT_TBI_06$000180&03_@002128.bmp,masks\OFT_TBI_06$000180&03_@002128.bmp
images\OFT_TBI_06$000180&03_@002188.bmp,masks\OFT_TBI_06$000180&03_@002188.bmp
images\OFT_TBI_06$000180&03_@002327.bmp,masks\OFT_TBI_06$000180&03_@002327.bmp
images\OFT_TBI_06$000180&03_@002933.bmp,masks\OFT_TBI_06$000180&03_@002933.bmp
images\OFT_TBI_06$000180&03_@003248.bmp,masks\OFT_TBI_06$000180&03_@003248.bmp
images\OFT_TBI_07$000373&03_@000030.bmp,masks\OFT_TBI_07$000373&03_@000030.bmp
images\OFT_TBI_07$000373&03_@000296.bmp,masks\OFT_TBI_07$000373&03_@000296.bmp
images\OFT_TBI_07$000373&03_@000712.bmp,masks\OFT_TBI_07$000373&03_@000712.bmp
images\OFT_TBI_07$000373&03_@000827.bmp,masks\OFT_TBI_07$000373&03_@000827.bmp
images\OFT_TBI_07$000373&03_@001022.bmp,masks\OFT_TBI_07$000373&03_@001022.bmp
images\OFT_TBI_07$000373&03_@001059.bmp,masks\OFT_TBI_07$000373&03_@001059.bmp
images\OFT_TBI_07$000373&03_@001082.bmp,masks\OFT_TBI_07$000373&03_@001082.bmp
images\OFT_TBI_07$000373&03_@001142.bmp,masks\OFT_TBI_07$000373&03_@001142.bmp
images\OFT_TBI_07$000373&03_@001281.bmp,masks\OFT_TBI_07$000373&03_@001281.bmp
images\OFT_TBI_07$000373&03_@002151.bmp,masks\OFT_TBI_07$000373&03_@002151.bmp
images\OFT_TBI_07$000373&03_@002330.bmp,masks\OFT_TBI_07$000373&03_@002330.bmp
images\OFT_TBI_09$000249&03_@000030.bmp,masks\OFT_TBI_09$000249&03_@000030.bmp
images\OFT_TBI_09$000249&03_@000148.bmp,masks\OFT_TBI_09$000249&03_@000148.bmp
images\OFT_TBI_09$000249&03_@000310.bmp,masks\OFT_TBI_09$000249&03_@000310.bmp
images\OFT_TBI_09$000249&03_@000411.bmp,masks\OFT_TBI_09$000249&03_@000411.bmp
images\OFT_TBI_09$000249&03_@000481.bmp,masks\OFT_TBI_09$000249&03_@000481.bmp
images\OFT_TBI_09$000249&03_@000559.bmp,masks\OFT_TBI_09$000249&03_@000559.bmp
images\OFT_TBI_09$000249&03_@000620.bmp,masks\OFT_TBI_09$000249&03_@000620.bmp
images\OFT_TBI_09$000249&03_@000721.bmp,masks\OFT_TBI_09$000249&03_@000721.bmp
images\OFT_TBI_09$000249&03_@001328.bmp,masks\OFT_TBI_09$000249&03_@001328.bmp
images\OFT_TBI_09$000249&03_@001564.bmp,masks\OFT_TBI_09$000249&03_@001564.bmp
images\OFT_TBI_09$000249&03_@001721.bmp,masks\OFT_TBI_09$000249&03_@001721.bmp
images\OFT_TBI_09$000249&03_@001800.bmp,masks\OFT_TBI_09$000249&03_@001800.bmp
images\OFT_TBI_09$000249&03_@002258.bmp,masks\OFT_TBI_09$000249&03_@002258.bmp
images\OFT_TBI_09$000249&03_@002392.bmp,masks\OFT_TBI_09$000249&03_@002392.bmp
images\OFT_TBI_09$000249&03_@003442.bmp,masks\OFT_TBI_09$000249&03_@003442.bmp
images\OFT_TBI_10$000294&03_@000040.bmp,masks\OFT_TBI_10$000294&03_@000040.bmp
images\OFT_TBI_10$000294&03_@000509.bmp,masks\OFT_TBI_10$000294&03_@000509.bmp
images\OFT_TBI_10$000294&03_@000578.bmp,masks\OFT_TBI_10$000294&03_@000578.bmp
images\OFT_TBI_10$000294&03_@000684.bmp,masks\OFT_TBI_10$000294&03_@000684.bmp
images\OFT_TBI_10$000294&03_@000768.bmp,masks\OFT_TBI_10$000294&03_@000768.bmp
images\OFT_TBI_10$000294&03_@000944.bmp,masks\OFT_TBI_10$000294&03_@000944.bmp
images\OFT_TBI_10$000294&03_@000985.bmp,masks\OFT_TBI_10$000294&03_@000985.bmp
images\OFT_TBI_10$000294&03_@001036.bmp,masks\OFT_TBI_10$000294&03_@001036.bmp
images\OFT_TBI_10$000294&03_@001295.bmp,masks\OFT_TBI_10$000294&03_@001295.bmp
images\OFT_TBI_10$000294&03_@001624.bmp,masks\OFT_TBI_10$000294&03_@001624.bmp
images\OFT_TBI_10$000294&03_@002054.bmp,masks\OFT_TBI_10$000294&03_@002054.bmp
images\OFT_TBI_10$000294&03_@002299.bmp,masks\OFT_TBI_10$000294&03_@002299.bmp
images\OFT_TBI_10$000294&03_@002355.bmp,masks\OFT_TBI_10$000294&03_@002355.bmp
images\OFT_TBI_10$000294&03_@002447.bmp,masks\OFT_TBI_10$000294&03_@002447.bmp
images\OFT_TBI_10$000294&03_@002642.bmp,masks\OFT_TBI_10$000294&03_@002642.bmp
images\OFT_TBI_10$000294&03_@003063.bmp,masks\OFT_TBI_10$000294&03_@003063.bmp
images\OFT_TBI_10$000294&03_@003678.bmp,masks\OFT_TBI_10$000294&03_@003678.bmp
images\OFT_TBI_10$000294&03_@003956.bmp,masks\OFT_TBI_10$000294&03_@003956.bmp
images\revert_horizontal_OFT_rat01_intact$000090&03_@000175.bmp,masks\revert_horizontal_OFT_rat01_intact$000090&03_@000175.bmp
images\revert_horizontal_OFT_rat02_intact$000161&03_@000177.bmp,masks\revert_horizontal_OFT_rat02_intact$000161&03_@000177.bmp
images\revert_horizontal_revert_vertical_OFT_control_01$000152&03_@000939.bmp,masks\revert_horizontal_revert_vertical_OFT_control_01$000152&03_@000939.bmp
images\revert_vertical_OFT_control_01$000152&03_@000374.bmp,masks\revert_vertical_OFT_control_01$000152&03_@000374.bmp
images\revert_vertical_OFT_control_01$000152&03_@000569.bmp,masks\revert_vertical_OFT_control_01$000152&03_@000569.bmp
images\revert_vertical_OFT_control_01$000152&03_@000939.bmp,masks\revert_vertical_OFT_control_01$000152&03_@000939.bmp
